,eps,scale,iters
0,0.001,0.001,3
1,0.001,0.001,2
2,0.001,0.001,3
3,0.001,0.001,4
4,0.001,0.001,3
5,0.001,0.112,56
6,0.001,0.112,61
7,0.001,0.112,48
8,0.001,0.112,67
9,0.001,0.112,47
10,0.001,0.223,82
11,0.001,0.223,89
12,0.001,0.223,74
13,0.001,0.223,94
14,0.001,0.223,97
15,0.001,0.334,75
16,0.001,0.334,77
17,0.001,0.334,90
18,0.001,0.334,83
19,0.001,0.334,74
20,0.001,0.445,95
21,0.001,0.445,89
22,0.001,0.445,90
23,0.001,0.445,107
24,0.001,0.445,98
25,0.001,0.556,101
26,0.001,0.556,133
27,0.001,0.556,100
28,0.001,0.556,115
29,0.001,0.556,116
30,0.001,0.667,130
31,0.001,0.667,133
32,0.001,0.667,113
33,0.001,0.667,96
34,0.001,0.667,132
35,0.001,0.778,125
36,0.001,0.778,153
37,0.001,0.778,150
38,0.001,0.778,153
39,0.001,0.778,115
40,0.001,0.889,167
41,0.001,0.889,150
42,0.001,0.889,170
43,0.001,0.889,137
44,0.001,0.889,137
45,0.001,1.0,150
46,0.001,1.0,207
47,0.001,1.0,160
48,0.001,1.0,153
49,0.001,1.0,157
50,0.012,0.001,1
51,0.012,0.001,1
52,0.012,0.001,1
53,0.012,0.001,1
54,0.012,0.001,1
55,0.012,0.112,24
56,0.012,0.112,27
57,0.012,0.112,31
58,0.012,0.112,30
59,0.012,0.112,35
60,0.012,0.223,51
61,0.012,0.223,45
62,0.012,0.223,46
63,0.012,0.223,43
64,0.012,0.223,40
65,0.012,0.334,54
66,0.012,0.334,63
67,0.012,0.334,48
68,0.012,0.334,54
69,0.012,0.334,67
70,0.012,0.445,53
71,0.012,0.445,63
72,0.012,0.445,58
73,0.012,0.445,60
74,0.012,0.445,60
75,0.012,0.556,69
76,0.012,0.556,76
77,0.012,0.556,78
78,0.012,0.556,71
79,0.012,0.556,81
80,0.012,0.667,69
81,0.012,0.667,72
82,0.012,0.667,74
83,0.012,0.667,89
84,0.012,0.667,92
85,0.012,0.778,110
86,0.012,0.778,95
87,0.012,0.778,94
88,0.012,0.778,91
89,0.012,0.778,90
90,0.012,0.889,106
91,0.012,0.889,98
92,0.012,0.889,92
93,0.012,0.889,98
94,0.012,0.889,101
95,0.012,1.0,146
96,0.012,1.0,95
97,0.012,1.0,107
98,0.012,1.0,86
99,0.012,1.0,107
100,0.023000000000000003,0.001,1
101,0.023000000000000003,0.001,1
102,0.023000000000000003,0.001,1
103,0.023000000000000003,0.001,1
104,0.023000000000000003,0.001,1
105,0.023000000000000003,0.112,21
106,0.023000000000000003,0.112,14
107,0.023000000000000003,0.112,18
108,0.023000000000000003,0.112,20
109,0.023000000000000003,0.112,26
110,0.023000000000000003,0.223,34
111,0.023000000000000003,0.223,32
112,0.023000000000000003,0.223,27
113,0.023000000000000003,0.223,38
114,0.023000000000000003,0.223,32
115,0.023000000000000003,0.334,42
116,0.023000000000000003,0.334,49
117,0.023000000000000003,0.334,51
118,0.023000000000000003,0.334,48
119,0.023000000000000003,0.334,45
120,0.023000000000000003,0.445,47
121,0.023000000000000003,0.445,73
122,0.023000000000000003,0.445,41
123,0.023000000000000003,0.445,48
124,0.023000000000000003,0.445,54
125,0.023000000000000003,0.556,61
126,0.023000000000000003,0.556,63
127,0.023000000000000003,0.556,73
128,0.023000000000000003,0.556,52
129,0.023000000000000003,0.556,68
130,0.023000000000000003,0.667,60
131,0.023000000000000003,0.667,62
132,0.023000000000000003,0.667,75
133,0.023000000000000003,0.667,63
134,0.023000000000000003,0.667,61
135,0.023000000000000003,0.778,91
136,0.023000000000000003,0.778,67
137,0.023000000000000003,0.778,67
138,0.023000000000000003,0.778,64
139,0.023000000000000003,0.778,80
140,0.023000000000000003,0.889,69
141,0.023000000000000003,0.889,75
142,0.023000000000000003,0.889,68
143,0.023000000000000003,0.889,88
144,0.023000000000000003,0.889,76
145,0.023000000000000003,1.0,73
146,0.023000000000000003,1.0,104
147,0.023000000000000003,1.0,98
148,0.023000000000000003,1.0,86
149,0.023000000000000003,1.0,104
150,0.034,0.001,1
151,0.034,0.001,1
152,0.034,0.001,1
153,0.034,0.001,1
154,0.034,0.001,1
155,0.034,0.112,11
156,0.034,0.112,16
157,0.034,0.112,15
158,0.034,0.112,20
159,0.034,0.112,20
160,0.034,0.223,24
161,0.034,0.223,32
162,0.034,0.223,29
163,0.034,0.223,33
164,0.034,0.223,24
165,0.034,0.334,35
166,0.034,0.334,38
167,0.034,0.334,40
168,0.034,0.334,45
169,0.034,0.334,47
170,0.034,0.445,53
171,0.034,0.445,51
172,0.034,0.445,43
173,0.034,0.445,49
174,0.034,0.445,44
175,0.034,0.556,55
176,0.034,0.556,60
177,0.034,0.556,51
178,0.034,0.556,62
179,0.034,0.556,48
180,0.034,0.667,58
181,0.034,0.667,70
182,0.034,0.667,52
183,0.034,0.667,70
184,0.034,0.667,56
185,0.034,0.778,72
186,0.034,0.778,64
187,0.034,0.778,64
188,0.034,0.778,81
189,0.034,0.778,76
190,0.034,0.889,62
191,0.034,0.889,67
192,0.034,0.889,58
193,0.034,0.889,59
194,0.034,0.889,77
195,0.034,1.0,68
196,0.034,1.0,75
197,0.034,1.0,102
198,0.034,1.0,64
199,0.034,1.0,82
200,0.045000000000000005,0.001,1
201,0.045000000000000005,0.001,1
202,0.045000000000000005,0.001,1
203,0.045000000000000005,0.001,1
204,0.045000000000000005,0.001,1
205,0.045000000000000005,0.112,11
206,0.045000000000000005,0.112,10
207,0.045000000000000005,0.112,10
208,0.045000000000000005,0.112,11
209,0.045000000000000005,0.112,22
210,0.045000000000000005,0.223,33
211,0.045000000000000005,0.223,20
212,0.045000000000000005,0.223,20
213,0.045000000000000005,0.223,33
214,0.045000000000000005,0.223,26
215,0.045000000000000005,0.334,29
216,0.045000000000000005,0.334,50
217,0.045000000000000005,0.334,31
218,0.045000000000000005,0.334,35
219,0.045000000000000005,0.334,40
220,0.045000000000000005,0.445,40
221,0.045000000000000005,0.445,39
222,0.045000000000000005,0.445,38
223,0.045000000000000005,0.445,41
224,0.045000000000000005,0.445,45
225,0.045000000000000005,0.556,49
226,0.045000000000000005,0.556,49
227,0.045000000000000005,0.556,59
228,0.045000000000000005,0.556,43
229,0.045000000000000005,0.556,60
230,0.045000000000000005,0.667,55
231,0.045000000000000005,0.667,55
232,0.045000000000000005,0.667,68
233,0.045000000000000005,0.667,62
234,0.045000000000000005,0.667,65
235,0.045000000000000005,0.778,73
236,0.045000000000000005,0.778,51
237,0.045000000000000005,0.778,48
238,0.045000000000000005,0.778,64
239,0.045000000000000005,0.778,54
240,0.045000000000000005,0.889,57
241,0.045000000000000005,0.889,60
242,0.045000000000000005,0.889,72
243,0.045000000000000005,0.889,70
244,0.045000000000000005,0.889,68
245,0.045000000000000005,1.0,88
246,0.045000000000000005,1.0,63
247,0.045000000000000005,1.0,71
248,0.045000000000000005,1.0,94
249,0.045000000000000005,1.0,58
250,0.05600000000000001,0.001,1
251,0.05600000000000001,0.001,1
252,0.05600000000000001,0.001,1
253,0.05600000000000001,0.001,1
254,0.05600000000000001,0.001,1
255,0.05600000000000001,0.112,6
256,0.05600000000000001,0.112,8
257,0.05600000000000001,0.112,10
258,0.05600000000000001,0.112,5
259,0.05600000000000001,0.112,9
260,0.05600000000000001,0.223,22
261,0.05600000000000001,0.223,25
262,0.05600000000000001,0.223,27
263,0.05600000000000001,0.223,23
264,0.05600000000000001,0.223,21
265,0.05600000000000001,0.334,36
266,0.05600000000000001,0.334,30
267,0.05600000000000001,0.334,34
268,0.05600000000000001,0.334,36
269,0.05600000000000001,0.334,27
270,0.05600000000000001,0.445,38
271,0.05600000000000001,0.445,43
272,0.05600000000000001,0.445,36
273,0.05600000000000001,0.445,37
274,0.05600000000000001,0.445,38
275,0.05600000000000001,0.556,60
276,0.05600000000000001,0.556,42
277,0.05600000000000001,0.556,49
278,0.05600000000000001,0.556,49
279,0.05600000000000001,0.556,53
280,0.05600000000000001,0.667,45
281,0.05600000000000001,0.667,52
282,0.05600000000000001,0.667,50
283,0.05600000000000001,0.667,47
284,0.05600000000000001,0.667,49
285,0.05600000000000001,0.778,59
286,0.05600000000000001,0.778,64
287,0.05600000000000001,0.778,62
288,0.05600000000000001,0.778,48
289,0.05600000000000001,0.778,57
290,0.05600000000000001,0.889,58
291,0.05600000000000001,0.889,66
292,0.05600000000000001,0.889,55
293,0.05600000000000001,0.889,61
294,0.05600000000000001,0.889,87
295,0.05600000000000001,1.0,73
296,0.05600000000000001,1.0,58
297,0.05600000000000001,1.0,62
298,0.05600000000000001,1.0,82
299,0.05600000000000001,1.0,76
300,0.067,0.001,1
301,0.067,0.001,1
302,0.067,0.001,1
303,0.067,0.001,1
304,0.067,0.001,1
305,0.067,0.112,6
306,0.067,0.112,7
307,0.067,0.112,8
308,0.067,0.112,6
309,0.067,0.112,11
310,0.067,0.223,23
311,0.067,0.223,15
312,0.067,0.223,20
313,0.067,0.223,22
314,0.067,0.223,20
315,0.067,0.334,25
316,0.067,0.334,30
317,0.067,0.334,40
318,0.067,0.334,28
319,0.067,0.334,34
320,0.067,0.445,36
321,0.067,0.445,32
322,0.067,0.445,40
323,0.067,0.445,34
324,0.067,0.445,45
325,0.067,0.556,48
326,0.067,0.556,57
327,0.067,0.556,43
328,0.067,0.556,42
329,0.067,0.556,49
330,0.067,0.667,45
331,0.067,0.667,47
332,0.067,0.667,65
333,0.067,0.667,61
334,0.067,0.667,37
335,0.067,0.778,63
336,0.067,0.778,57
337,0.067,0.778,55
338,0.067,0.778,64
339,0.067,0.778,59
340,0.067,0.889,59
341,0.067,0.889,55
342,0.067,0.889,44
343,0.067,0.889,76
344,0.067,0.889,74
345,0.067,1.0,84
346,0.067,1.0,45
347,0.067,1.0,70
348,0.067,1.0,56
349,0.067,1.0,57
350,0.07800000000000001,0.001,1
351,0.07800000000000001,0.001,1
352,0.07800000000000001,0.001,1
353,0.07800000000000001,0.001,1
354,0.07800000000000001,0.001,1
355,0.07800000000000001,0.112,6
356,0.07800000000000001,0.112,5
357,0.07800000000000001,0.112,10
358,0.07800000000000001,0.112,5
359,0.07800000000000001,0.112,7
360,0.07800000000000001,0.223,31
361,0.07800000000000001,0.223,15
362,0.07800000000000001,0.223,15
363,0.07800000000000001,0.223,24
364,0.07800000000000001,0.223,16
365,0.07800000000000001,0.334,29
366,0.07800000000000001,0.334,26
367,0.07800000000000001,0.334,27
368,0.07800000000000001,0.334,28
369,0.07800000000000001,0.334,24
370,0.07800000000000001,0.445,37
371,0.07800000000000001,0.445,35
372,0.07800000000000001,0.445,35
373,0.07800000000000001,0.445,33
374,0.07800000000000001,0.445,29
375,0.07800000000000001,0.556,44
376,0.07800000000000001,0.556,49
377,0.07800000000000001,0.556,38
378,0.07800000000000001,0.556,41
379,0.07800000000000001,0.556,53
380,0.07800000000000001,0.667,48
381,0.07800000000000001,0.667,45
382,0.07800000000000001,0.667,57
383,0.07800000000000001,0.667,39
384,0.07800000000000001,0.667,36
385,0.07800000000000001,0.778,60
386,0.07800000000000001,0.778,47
387,0.07800000000000001,0.778,51
388,0.07800000000000001,0.778,49
389,0.07800000000000001,0.778,41
390,0.07800000000000001,0.889,55
391,0.07800000000000001,0.889,58
392,0.07800000000000001,0.889,70
393,0.07800000000000001,0.889,52
394,0.07800000000000001,0.889,64
395,0.07800000000000001,1.0,54
396,0.07800000000000001,1.0,66
397,0.07800000000000001,1.0,58
398,0.07800000000000001,1.0,66
399,0.07800000000000001,1.0,60
400,0.08900000000000001,0.001,1
401,0.08900000000000001,0.001,1
402,0.08900000000000001,0.001,1
403,0.08900000000000001,0.001,1
404,0.08900000000000001,0.001,1
405,0.08900000000000001,0.112,5
406,0.08900000000000001,0.112,4
407,0.08900000000000001,0.112,6
408,0.08900000000000001,0.112,7
409,0.08900000000000001,0.112,10
410,0.08900000000000001,0.223,16
411,0.08900000000000001,0.223,15
412,0.08900000000000001,0.223,16
413,0.08900000000000001,0.223,14
414,0.08900000000000001,0.223,23
415,0.08900000000000001,0.334,23
416,0.08900000000000001,0.334,25
417,0.08900000000000001,0.334,28
418,0.08900000000000001,0.334,33
419,0.08900000000000001,0.334,28
420,0.08900000000000001,0.445,28
421,0.08900000000000001,0.445,39
422,0.08900000000000001,0.445,29
423,0.08900000000000001,0.445,42
424,0.08900000000000001,0.445,37
425,0.08900000000000001,0.556,36
426,0.08900000000000001,0.556,44
427,0.08900000000000001,0.556,38
428,0.08900000000000001,0.556,37
429,0.08900000000000001,0.556,42
430,0.08900000000000001,0.667,44
431,0.08900000000000001,0.667,38
432,0.08900000000000001,0.667,53
433,0.08900000000000001,0.667,36
434,0.08900000000000001,0.667,64
435,0.08900000000000001,0.778,44
436,0.08900000000000001,0.778,37
437,0.08900000000000001,0.778,58
438,0.08900000000000001,0.778,53
439,0.08900000000000001,0.778,44
440,0.08900000000000001,0.889,62
441,0.08900000000000001,0.889,59
442,0.08900000000000001,0.889,47
443,0.08900000000000001,0.889,56
444,0.08900000000000001,0.889,46
445,0.08900000000000001,1.0,60
446,0.08900000000000001,1.0,62
447,0.08900000000000001,1.0,48
448,0.08900000000000001,1.0,52
449,0.08900000000000001,1.0,56
450,0.1,0.001,1
451,0.1,0.001,1
452,0.1,0.001,1
453,0.1,0.001,1
454,0.1,0.001,1
455,0.1,0.112,4
456,0.1,0.112,4
457,0.1,0.112,3
458,0.1,0.112,5
459,0.1,0.112,4
460,0.1,0.223,16
461,0.1,0.223,21
462,0.1,0.223,24
463,0.1,0.223,12
464,0.1,0.223,14
465,0.1,0.334,22
466,0.1,0.334,23
467,0.1,0.334,26
468,0.1,0.334,25
469,0.1,0.334,22
470,0.1,0.445,41
471,0.1,0.445,37
472,0.1,0.445,36
473,0.1,0.445,32
474,0.1,0.445,32
475,0.1,0.556,42
476,0.1,0.556,47
477,0.1,0.556,43
478,0.1,0.556,34
479,0.1,0.556,35
480,0.1,0.667,40
481,0.1,0.667,40
482,0.1,0.667,42
483,0.1,0.667,40
484,0.1,0.667,35
485,0.1,0.778,43
486,0.1,0.778,54
487,0.1,0.778,47
488,0.1,0.778,47
489,0.1,0.778,62
490,0.1,0.889,42
491,0.1,0.889,41
492,0.1,0.889,61
493,0.1,0.889,64
494,0.1,0.889,60
495,0.1,1.0,42
496,0.1,1.0,50
497,0.1,1.0,46
498,0.1,1.0,52
499,0.1,1.0,50
