,eps,scale,iters
0,0.001,0.001,3.0
1,0.001,0.112,55.8
2,0.001,0.223,87.2
3,0.001,0.334,79.8
4,0.001,0.445,95.8
5,0.001,0.556,113.0
6,0.001,0.667,120.8
7,0.001,0.778,139.2
8,0.001,0.889,152.2
9,0.001,1.0,165.4
10,0.012,0.001,1.0
11,0.012,0.112,29.4
12,0.012,0.223,45.0
13,0.012,0.334,57.2
14,0.012,0.445,58.8
15,0.012,0.556,75.0
16,0.012,0.667,79.2
17,0.012,0.778,96.0
18,0.012,0.889,99.0
19,0.012,1.0,108.2
20,0.023000000000000003,0.001,1.0
21,0.023000000000000003,0.112,19.8
22,0.023000000000000003,0.223,32.6
23,0.023000000000000003,0.334,47.0
24,0.023000000000000003,0.445,52.6
25,0.023000000000000003,0.556,63.4
26,0.023000000000000003,0.667,64.2
27,0.023000000000000003,0.778,73.8
28,0.023000000000000003,0.889,75.2
29,0.023000000000000003,1.0,93.0
30,0.034,0.001,1.0
31,0.034,0.112,16.4
32,0.034,0.223,28.4
33,0.034,0.334,41.0
34,0.034,0.445,48.0
35,0.034,0.556,55.2
36,0.034,0.667,61.2
37,0.034,0.778,71.4
38,0.034,0.889,64.6
39,0.034,1.0,78.2
40,0.045000000000000005,0.001,1.0
41,0.045000000000000005,0.112,12.8
42,0.045000000000000005,0.223,26.4
43,0.045000000000000005,0.334,37.0
44,0.045000000000000005,0.445,40.6
45,0.045000000000000005,0.556,52.0
46,0.045000000000000005,0.667,61.0
47,0.045000000000000005,0.778,58.0
48,0.045000000000000005,0.889,65.4
49,0.045000000000000005,1.0,74.8
50,0.05600000000000001,0.001,1.0
51,0.05600000000000001,0.112,7.6
52,0.05600000000000001,0.223,23.6
53,0.05600000000000001,0.334,32.6
54,0.05600000000000001,0.445,38.4
55,0.05600000000000001,0.556,50.6
56,0.05600000000000001,0.667,48.6
57,0.05600000000000001,0.778,58.0
58,0.05600000000000001,0.889,65.4
59,0.05600000000000001,1.0,70.2
60,0.067,0.001,1.0
61,0.067,0.112,7.6
62,0.067,0.223,20.0
63,0.067,0.334,31.4
64,0.067,0.445,37.4
65,0.067,0.556,47.8
66,0.067,0.667,51.0
67,0.067,0.778,59.6
68,0.067,0.889,61.6
69,0.067,1.0,62.4
70,0.07800000000000001,0.001,1.0
71,0.07800000000000001,0.112,6.6
72,0.07800000000000001,0.223,20.2
73,0.07800000000000001,0.334,26.8
74,0.07800000000000001,0.445,33.8
75,0.07800000000000001,0.556,45.0
76,0.07800000000000001,0.667,45.0
77,0.07800000000000001,0.778,49.6
78,0.07800000000000001,0.889,59.8
79,0.07800000000000001,1.0,60.8
80,0.08900000000000001,0.001,1.0
81,0.08900000000000001,0.112,6.4
82,0.08900000000000001,0.223,16.8
83,0.08900000000000001,0.334,27.4
84,0.08900000000000001,0.445,35.0
85,0.08900000000000001,0.556,39.4
86,0.08900000000000001,0.667,47.0
87,0.08900000000000001,0.778,47.2
88,0.08900000000000001,0.889,54.0
89,0.08900000000000001,1.0,55.6
90,0.1,0.001,1.0
91,0.1,0.112,4.0
92,0.1,0.223,17.4
93,0.1,0.334,23.6
94,0.1,0.445,35.6
95,0.1,0.556,40.2
96,0.1,0.667,39.4
97,0.1,0.778,50.6
98,0.1,0.889,53.6
99,0.1,1.0,48.0
